student_id,name,weak_subjects,strengths,recommended_actions,recent_progress
1001,Ankit R,Mechatronics,"Networking, Fluid Mech",Join peer study groups,Needs attention
1002,Priya T,"Concrete Tech, Networking","Stats, CAD",Take mock tests,Declining
1003,Karan K,Math,"RL, Thermo",Improve time management,Needs attention
1004,Rahul K,Machines,"Thermo, Math",Simulate real problems,Stable
1005,Rahul K,"Python, ML","Surveying, Python",Practice regularly,Stable
1006,Ankit R,DBMS,"DBMS, Embedded",Use online resources,Improving
1007,Priya S,Structural,"Java, Math",Take mock tests,Stable
1008,Aisha M,"DSA, RL","CN, ML",Practice regularly,Needs attention
1009,Priya R,Geotech,"Geotech, AI",Attend workshops,Improving
1010,Priya S,"Mechatronics, Data Mining","Java, DL",Improve time management,Declining
1011,Arjun T,"RL, Stats","Python, Concrete Tech",Focus on weak topics,Improving
1012,Ravi K,Security,"Circuits, VLSI",Practice regularly,Stable
1013,Arjun M,"Circuits, Signal Systems","Concrete Tech, Security",Attend workshops,Stable
1014,Rahul K,CN,"Math, Mechatronics",Improve time management,Declining
1015,Priya M,Python,"CN, Security",Take mock tests,Stable
1016,Divya M,Security,"EM Theory, Concrete Tech",Take mock tests,Improving
1017,Arjun R,CAD,"Machines, Security",Practice regularly,Stable
1018,Rahul T,"Web Dev, Dynamics","CAD, Circuits",Use online resources,Declining
1019,Ankit T,"CAD, NLP","Stats, Fluid Mech",Attend workshops,Improving
1020,Rahul M,"Control, RL","Thermo, Machines",Improve time management,Needs attention
1021,Rahul M,Mechatronics,"Embedded, Security",Revise theoretical concepts,Improving
1022,Sneha R,"Web Dev, RL","ML, Stats",Practice regularly,Declining
1023,Ravi S,CN,"DSA, Geotech",Take mock tests,Stable
1024,Ravi K,NLP,"ML, Structural",Join peer study groups,Improving
1025,Sneha S,Power Systems,"Surveying, Circuits",Attend tutoring sessions,Needs attention
1026,Karan K,Machines,"Control, Data Mining",Attend workshops,Needs attention
1027,Ankit R,"OS, AI","Geotech, Web Dev",Attend tutoring sessions,Improving
1028,Arjun T,"Power Systems, Mechatronics","Power Systems, Geotech",Use online resources,Stable
1029,Rahul S,"Concrete Tech, Signal Systems","OS, Signal Systems",Use online resources,Improving
1030,Arjun K,Python,"ML, AI",Attend workshops,Needs attention
1031,Ankit K,"Concrete Tech, Surveying","AI, Thermo",Join peer study groups,Needs attention
1032,Karan S,Security,"OS, Control",Join peer study groups,Declining
1033,Sneha M,"Mechatronics, Thermo","Circuits, Digital Logic",Attend workshops,Improving
1034,Karan M,"DBMS, Mechatronics","ML, Python",Attend workshops,Stable
1035,Divya T,"Thermo, Geotech","Signal Systems, Thermo",Practice regularly,Improving
1036,Ankit K,Fluid Mech,"Geotech, Networking",Attend workshops,Stable
1037,Ankit S,"Math, Python","Structural, Power Systems",Simulate real problems,Needs attention
1038,Sneha K,"Concrete Tech, Python","Python, VLSI",Attend workshops,Declining
1039,Meera M,Embedded,"Digital Logic, CN",Practice regularly,Needs attention
1040,Priya S,EM Theory,"Digital Logic, Mechatronics",Join peer study groups,Needs attention
1041,Sneha R,"Circuits, Dynamics","Embedded, Security",Focus on weak topics,Improving
1042,Priya T,"DL, Python","Data Mining, Embedded",Focus on weak topics,Improving
1043,Meera T,Mechatronics,"VLSI, CAD",Take mock tests,Declining
1044,Aisha K,"Structural, AI","DL, Embedded",Use online resources,Stable
1045,Karan S,"Machines, Fluid Mech","Power Systems, Fluid Mech",Focus on weak topics,Needs attention
1046,Priya K,EM Theory,"Java, Digital Logic",Use online resources,Declining
1047,Karan K,Fluid Mech,"CN, Machines",Use online resources,Needs attention
1048,Ankit R,"DBMS, Circuits","Machines, Thermo",Attend workshops,Declining
1049,Ankit R,Surveying,"Embedded, Fluid Mech",Attend tutoring sessions,Stable
1050,Rahul T,"DBMS, OS","NLP, Concrete Tech",Simulate real problems,Stable
1051,Karan T,"DSA, ML","DBMS, Power Systems",Improve time management,Improving
1052,Divya K,CN,"Embedded, Thermo",Use online resources,Needs attention
1053,Ankit T,"Embedded, Machines","ML, NLP",Attend workshops,Needs attention
1054,Rahul M,"CAD, Java","VLSI, Digital Logic",Practice regularly,Declining
1055,Sneha S,Stats,"VLSI, Java",Use online resources,Declining
1056,Ravi S,"Control, NLP","DBMS, EM Theory",Join peer study groups,Needs attention
1057,Meera S,Math,"Math, DSA",Join peer study groups,Declining
1058,Priya R,Machines,"Digital Logic, Fluid Mech",Take mock tests,Stable
1059,Ankit S,RL,"Java, EM Theory",Improve time management,Needs attention
1060,Rahul T,"Web Dev, CAD","Fluid Mech, Circuits",Revise theoretical concepts,Needs attention
1061,Priya S,"Digital Logic, OS","Structural, Math",Simulate real problems,Needs attention
1062,Karan S,Power Systems,"CAD, EM Theory",Focus on weak topics,Declining
1063,Aisha R,Dynamics,"VLSI, NLP",Improve time management,Needs attention
1064,Ankit S,AI,"Web Dev, Java",Focus on weak topics,Declining
1065,Ankit R,"Control, Security","Stats, Python",Focus on weak topics,Improving
1066,Arjun K,Concrete Tech,"Python, Signal Systems",Attend tutoring sessions,Needs attention
1067,Karan M,"Dynamics, CN","Math, Surveying",Attend workshops,Stable
1068,Aisha K,Machines,"Stats, CAD",Focus on weak topics,Declining
1069,Sneha K,"Mechatronics, Thermo","Power Systems, Python",Focus on weak topics,Declining
1070,Rahul M,"DBMS, Concrete Tech","CAD, Networking",Simulate real problems,Improving
1071,Ravi R,Embedded,"Mechatronics, DBMS",Attend workshops,Stable
1072,Karan S,DBMS,"RL, DBMS",Attend tutoring sessions,Improving
1073,Arjun T,"Fluid Mech, Power Systems","CAD, VLSI",Focus on weak topics,Declining
1074,Arjun K,Security,"NLP, AI",Take mock tests,Improving
1075,Ravi M,VLSI,"Power Systems, DBMS",Improve time management,Declining
1076,Arjun R,Web Dev,"Digital Logic, Power Systems",Use online resources,Needs attention
1077,Arjun T,RL,"Stats, CN",Attend workshops,Needs attention
1078,Rahul S,Stats,"Signal Systems, Dynamics",Attend tutoring sessions,Improving
1079,Divya K,CAD,"Dynamics, Geotech",Simulate real problems,Needs attention
1080,Meera R,"CAD, Mechatronics","CN, Control",Revise theoretical concepts,Stable
1081,Divya R,Thermo,"AI, NLP",Attend tutoring sessions,Stable
1082,Ravi R,DL,"Embedded, Stats",Join peer study groups,Improving
1083,Ravi K,"Geotech, Fluid Mech","Circuits, Security",Use online resources,Declining
1084,Rahul S,"Concrete Tech, NLP","Circuits, VLSI",Attend tutoring sessions,Improving
1085,Karan K,Power Systems,"Dynamics, RL",Use online resources,Declining
1086,Priya T,"Surveying, Mechatronics","Java, Structural",Improve time management,Stable
1087,Arjun M,ML,"Networking, Control",Join peer study groups,Needs attention
1088,Ankit M,ML,"Data Mining, DBMS",Revise theoretical concepts,Needs attention
1089,Karan M,"CAD, Java","Math, Digital Logic",Attend workshops,Improving
1090,Karan M,Mechatronics,"Structural, Geotech",Focus on weak topics,Improving
1091,Divya S,"Structural, Security","Geotech, Signal Systems",Focus on weak topics,Improving
1092,Sneha T,"RL, Mechatronics","Thermo, DBMS",Revise theoretical concepts,Needs attention
1093,Rahul T,Surveying,"EM Theory, Structural",Simulate real problems,Stable
1094,Meera R,OS,"AI, Signal Systems",Attend workshops,Declining
1095,Meera R,"Machines, Control","ML, DBMS",Use online resources,Improving
1096,Meera T,DL,"Fluid Mech, Control",Practice regularly,Declining
1097,Ravi R,Structural,"Machines, AI",Revise theoretical concepts,Improving
1098,Priya K,Networking,"DL, RL",Attend workshops,Improving
1099,Meera S,OS,"Digital Logic, Structural",Simulate real problems,Needs attention
1100,Karan T,"Stats, ML","Power Systems, Dynamics",Practice regularly,Declining
1101,Sneha T,"Java, Networking","DL, RL",Attend tutoring sessions,Improving
1102,Meera S,CN,"Geotech, Circuits",Revise theoretical concepts,Declining
1103,Rahul T,"DBMS, Surveying","Networking, Fluid Mech",Simulate real problems,Needs attention
1104,Sneha R,Surveying,"Concrete Tech, Stats",Simulate real problems,Needs attention
1105,Divya T,"CN, EM Theory","DSA, Geotech",Revise theoretical concepts,Improving
1106,Priya S,"Surveying, NLP","Concrete Tech, Thermo",Improve time management,Improving
1107,Priya M,"Data Mining, Math","Surveying, VLSI",Improve time management,Needs attention
1108,Aisha T,"DBMS, Security","VLSI, Digital Logic",Revise theoretical concepts,Needs attention
1109,Ankit K,Concrete Tech,"Embedded, OS",Practice regularly,Stable
1110,Karan S,EM Theory,"RL, Concrete Tech",Simulate real problems,Declining
1111,Divya K,"Thermo, Data Mining","Embedded, CAD",Join peer study groups,Declining
1112,Arjun R,CAD,"Fluid Mech, ML",Use online resources,Needs attention
1113,Arjun K,"Power Systems, OS","Circuits, Signal Systems",Simulate real problems,Needs attention
1114,Ankit R,Fluid Mech,"AI, OS",Use online resources,Declining
1115,Aisha R,Web Dev,"Digital Logic, CAD",Improve time management,Stable
1116,Karan K,"Data Mining, NLP","Embedded, Thermo",Simulate real problems,Needs attention
1117,Ankit S,"Mechatronics, Signal Systems","Control, CN",Attend workshops,Improving
1118,Priya R,"CAD, Structural","AI, Java",Simulate real problems,Needs attention
1119,Arjun M,"Machines, ML","Stats, Dynamics",Improve time management,Stable
1120,Divya T,"Geotech, Security","Control, Mechatronics",Attend tutoring sessions,Improving
1121,Ankit S,DBMS,"NLP, Stats",Attend tutoring sessions,Improving
1122,Meera M,"CN, ML","Structural, NLP",Practice regularly,Stable
1123,Priya T,Surveying,"Python, CN",Attend workshops,Improving
1124,Sneha R,Data Mining,"Stats, Power Systems",Improve time management,Declining
1125,Arjun T,Circuits,"Networking, Structural",Use online resources,Improving
1126,Meera R,DL,"Python, DL",Simulate real problems,Stable
1127,Karan K,VLSI,"DL, NLP",Focus on weak topics,Stable
1128,Karan K,"Structural, DSA","Circuits, Surveying",Attend workshops,Improving
1129,Meera S,RL,"Surveying, Security",Join peer study groups,Declining
1130,Arjun T,RL,"CN, DBMS",Join peer study groups,Stable
1131,Ankit R,Dynamics,"ML, Signal Systems",Practice regularly,Improving
1132,Divya M,"CAD, Web Dev","DBMS, Math",Attend tutoring sessions,Declining
1133,Priya R,DSA,"OS, Digital Logic",Take mock tests,Declining
1134,Priya T,CN,"Fluid Mech, Digital Logic",Attend tutoring sessions,Needs attention
1135,Divya M,Dynamics,"OS, Math",Use online resources,Improving
1136,Priya M,DBMS,"Web Dev, Dynamics",Practice regularly,Declining
1137,Meera T,CN,"ML, Digital Logic",Take mock tests,Improving
1138,Sneha K,"Concrete Tech, DL","Concrete Tech, DBMS",Focus on weak topics,Needs attention
1139,Karan M,AI,"EM Theory, Digital Logic",Use online resources,Needs attention
1140,Arjun S,"Java, OS","Java, Embedded",Attend tutoring sessions,Needs attention
1141,Karan M,"Python, DSA","Signal Systems, Circuits",Improve time management,Needs attention
1142,Rahul K,Fluid Mech,"Networking, Embedded",Attend tutoring sessions,Improving
1143,Priya M,OS,"Security, VLSI",Improve time management,Stable
1144,Rahul T,"Web Dev, OS","Control, Mechatronics",Attend workshops,Needs attention
1145,Priya K,Math,"Data Mining, Circuits",Take mock tests,Declining
1146,Sneha M,Java,"Java, Digital Logic",Take mock tests,Needs attention
1147,Ankit T,"DBMS, Control","Web Dev, Thermo",Revise theoretical concepts,Needs attention
1148,Rahul R,Signal Systems,"Power Systems, Java",Join peer study groups,Stable
1149,Arjun S,Digital Logic,"DSA, RL",Focus on weak topics,Improving
1150,Meera S,"DBMS, EM Theory","Mechatronics, Circuits",Attend workshops,Needs attention
1151,Aisha K,Networking,"Digital Logic, Circuits",Simulate real problems,Declining
1152,Sneha T,"CAD, EM Theory","Surveying, OS",Attend tutoring sessions,Declining
1153,Ankit R,Thermo,"Web Dev, Control",Take mock tests,Needs attention
1154,Divya M,Dynamics,"Fluid Mech, Signal Systems",Join peer study groups,Improving
1155,Sneha S,Security,"Machines, Math",Simulate real problems,Declining
1156,Ankit K,"Dynamics, DL","Signal Systems, DSA",Attend tutoring sessions,Improving
1157,Arjun K,Geotech,"Embedded, ML",Attend workshops,Stable
1158,Arjun S,Geotech,"Math, AI",Improve time management,Improving
1159,Priya R,"Web Dev, DL","Java, Web Dev",Focus on weak topics,Stable
1160,Karan K,"Security, CAD","Python, Data Mining",Take mock tests,Improving
1161,Ankit M,Stats,"Machines, Math",Take mock tests,Declining
1162,Aisha T,Data Mining,"Networking, VLSI",Join peer study groups,Stable
1163,Arjun T,Geotech,"Fluid Mech, RL",Improve time management,Stable
1164,Divya M,"DL, Concrete Tech","VLSI, DL",Improve time management,Declining
1165,Sneha R,Circuits,"Power Systems, OS",Improve time management,Stable
1166,Karan T,"Dynamics, Power Systems","Surveying, Thermo",Revise theoretical concepts,Needs attention
1167,Sneha R,EM Theory,"Concrete Tech, Signal Systems",Attend workshops,Declining
1168,Meera R,"Java, Networking","Fluid Mech, Stats",Take mock tests,Declining
1169,Arjun K,Java,"Dynamics, Math",Join peer study groups,Needs attention
1170,Divya T,EM Theory,"Thermo, OS",Improve time management,Stable
1171,Arjun K,"RL, EM Theory","EM Theory, DSA",Revise theoretical concepts,Improving
