student_id,name,career_goal,internships_done,job_ready,suggested_paths
1001,Ankit R,Cloud Engineer,1 (Web Dev Intern),Yes,"Apply to research roles, Core project, mock interviews"
1002,Priya T,AI Researcher,1 (Security Intern),No,"Core project, mock interviews, Portfolio enhancement"
1003,Karan K,AI Researcher,1 (AR Intern),No,"Attend tech webinars, Portfolio enhancement"
1004,Rahul K,Cybersecurity Analyst,1 (Security Intern),Yes,"LinkedIn optimization, Apply to research roles"
1005,Rahul K 2,Systems Engineer,1 (AR Intern),Yes,"Core project, mock interviews, Contribute to open source"
1006,Ankit R 2,DevOps Specialist,1 (AR Intern),No,"Practice DSA, GitHub proj, Certifications in relevant domain"
1007,Priya S,Cloud Engineer,1 (Web Dev Intern),Yes,"Contribute to open source, Apply to research roles"
1008,Aisha M,Web Developer,1 (Web Dev Intern),Yes,"Attend tech webinars, Contribute to open source"
1009,Priya R,DevOps Specialist,1 (CAD Internship),Yes,"Attend tech webinars, Apply to research roles"
1010,Priya S 2,Web Developer,1 (IoT Internship),Yes,"Certifications in relevant domain, Contribute to open source"
1011,Arjun T,Product Designer,"2 (NLP, Vision)",Yes,"Attend tech webinars, Contribute to open source"
1012,Ravi K,Cybersecurity Analyst,"2 (NLP, Vision)",Yes,"Core project, mock interviews, Build capstone projects"
1013,Arjun M,AR/VR Developer,1 (Security Intern),No,"Apply to research roles, Practice DSA, GitHub proj"
1014,Rahul K 3,DevOps Specialist,"2 (DevOps, Cloud)",Yes,"LinkedIn optimization, Core project, mock interviews"
1015,Priya M,Embedded Engineer,None,No,"Practice DSA, GitHub proj, Apply to research roles"
1016,Divya M,ML Engineer,1 (Security Intern),No,"LinkedIn optimization, Resume upgrade, hackathons"
1017,Arjun R,ML Engineer,1 (IoT Internship),Yes,"Apply to research roles, Core project, mock interviews"
1018,Rahul T,Software Developer,"2 (NLP, Vision)",Yes,"Build capstone projects, LinkedIn optimization"
1019,Ankit T,AR/VR Developer,"2 (Research, Dev)",Yes,"LinkedIn optimization, Attend tech webinars"
1020,Rahul M,AR/VR Developer,1 (Web Dev Intern),Yes,"Certifications in relevant domain, Practice DSA, GitHub proj"
1021,Rahul M 2,AR/VR Developer,1 (ML Intern),Yes,"Portfolio enhancement, Certifications in relevant domain"
1022,Sneha R,Embedded Engineer,"2 (NLP, Vision)",No,"Apply to research roles, Build capstone projects"
1023,Ravi S,Embedded Engineer,None,No,"Build capstone projects, Apply to research roles"
1024,Ravi K 2,Cloud Engineer,1 (CAD Internship),Yes,"Attend tech webinars, Portfolio enhancement"
1025,Sneha S,Cloud Engineer,1 (Security Intern),Yes,"Apply to research roles, Certifications in relevant domain"
1026,Karan K 2,Embedded Engineer,1 (AR Intern),Yes,"Resume upgrade, hackathons, Core project, mock interviews"
1027,Ankit R 3,Data Scientist,"2 (NLP, Vision)",No,"Core project, mock interviews, Build capstone projects"
1028,Arjun T 2,AR/VR Developer,"2 (NLP, Vision)",Yes,"Core project, mock interviews, Resume upgrade, hackathons"
1029,Rahul S,Systems Engineer,None,No,"Build capstone projects, Attend tech webinars"
1030,Arjun K,Embedded Engineer,1 (AR Intern),No,"Core project, mock interviews, Apply to research roles"
1031,Ankit K,DevOps Specialist,1 (CAD Internship),No,"Resume upgrade, hackathons, Contribute to open source"
1032,Karan S,ML Engineer,"2 (NLP, Vision)",Yes,"LinkedIn optimization, Build capstone projects"
1033,Sneha M,Cybersecurity Analyst,1 (Web Dev Intern),Yes,"Build capstone projects, Portfolio enhancement"
1034,Karan M,Cybersecurity Analyst,1 (Security Intern),No,"Build capstone projects, Portfolio enhancement"
1035,Divya T,Data Scientist,"2 (NLP, Vision)",No,"Contribute to open source, Practice DSA, GitHub proj"
1036,Ankit K 2,DevOps Specialist,1 (IoT Internship),Yes,"LinkedIn optimization, Build capstone projects"
1037,Ankit S,Web Developer,1 (AR Intern),Yes,"Core project, mock interviews, Portfolio enhancement"
1038,Sneha K,DevOps Specialist,"2 (NLP, Vision)",Yes,"Apply to research roles, Practice DSA, GitHub proj"
1039,Meera M,ML Engineer,1 (Security Intern),Yes,"Resume upgrade, hackathons, Practice DSA, GitHub proj"
1040,Priya S 3,Data Scientist,1 (AR Intern),Yes,"Core project, mock interviews, Build capstone projects"
1041,Sneha R 2,Systems Engineer,1 (AR Intern),Yes,"Resume upgrade, hackathons, Contribute to open source"
1042,Priya T 2,Embedded Engineer,1 (Web Dev Intern),No,"Practice DSA, GitHub proj, Core project, mock interviews"
1043,Meera T,Embedded Engineer,"2 (Research, Dev)",Yes,"Portfolio enhancement, Resume upgrade, hackathons"
1044,Aisha K,DevOps Specialist,1 (AR Intern),Yes,"Build capstone projects, Practice DSA, GitHub proj"
1045,Karan S 2,Cybersecurity Analyst,1 (AR Intern),Yes,"Contribute to open source, Resume upgrade, hackathons"
1046,Priya K,DevOps Specialist,"2 (NLP, Vision)",Yes,"Apply to research roles, LinkedIn optimization"
1047,Karan K 3,Cybersecurity Analyst,"2 (NLP, Vision)",Yes,"Apply to research roles, LinkedIn optimization"
1048,Ankit R 4,Cloud Engineer,"2 (DevOps, Cloud)",Yes,"Build capstone projects, Contribute to open source"
1049,Ankit R 5,Web Developer,1 (Web Dev Intern),Yes,"Attend tech webinars, Practice DSA, GitHub proj"
1050,Rahul T 2,Web Developer,"2 (DevOps, Cloud)",Yes,"Practice DSA, GitHub proj, LinkedIn optimization"
1051,Karan T,Cybersecurity Analyst,"2 (Research, Dev)",No,"Core project, mock interviews, Resume upgrade, hackathons"
1052,Divya K,AI Researcher,1 (AR Intern),Yes,"Resume upgrade, hackathons, Certifications in relevant domain"
1053,Ankit T 2,Cybersecurity Analyst,None,No,"Build capstone projects, Practice DSA, GitHub proj"
1054,Rahul M 3,Web Developer,1 (AR Intern),Yes,"Apply to research roles, Practice DSA, GitHub proj"
1055,Sneha S 2,Software Developer,"2 (NLP, Vision)",No,"Certifications in relevant domain, Portfolio enhancement"
1056,Ravi S 2,Cloud Engineer,1 (CAD Internship),No,"Apply to research roles, Certifications in relevant domain"
1057,Meera S,Product Designer,1 (ML Intern),Yes,"Portfolio enhancement, Resume upgrade, hackathons"
1058,Priya R 2,Software Developer,1 (AR Intern),Yes,"Core project, mock interviews, Portfolio enhancement"
1059,Ankit S 2,Embedded Engineer,1 (IoT Internship),Yes,"Core project, mock interviews, Practice DSA, GitHub proj"
1060,Rahul T 3,Cybersecurity Analyst,1 (ML Intern),Yes,"Certifications in relevant domain, Core project, mock interviews"
1061,Priya S 4,Cybersecurity Analyst,1 (ML Intern),No,"Practice DSA, GitHub proj, Build capstone projects"
1062,Karan S 3,AR/VR Developer,"2 (DevOps, Cloud)",Yes,"Build capstone projects, Portfolio enhancement"
1063,Aisha R,Cloud Engineer,None,No,"Attend tech webinars, Apply to research roles"
1064,Ankit S 3,Data Scientist,1 (Web Dev Intern),No,"Contribute to open source, Core project, mock interviews"
1065,Ankit R 6,AI Researcher,1 (ML Intern),Yes,"Attend tech webinars, Apply to research roles"
1066,Arjun K 2,DevOps Specialist,1 (CAD Internship),Yes,"Build capstone projects, Certifications in relevant domain"
1067,Karan M 2,AR/VR Developer,1 (Web Dev Intern),No,"Apply to research roles, Certifications in relevant domain"
1068,Aisha K 2,Software Developer,1 (CAD Internship),No,"Practice DSA, GitHub proj, Apply to research roles"
1069,Sneha K 2,AR/VR Developer,1 (CAD Internship),Yes,"Attend tech webinars, Apply to research roles"
1070,Rahul M 4,DevOps Specialist,"2 (NLP, Vision)",Yes,"Apply to research roles, Core project, mock interviews"
1071,Ravi R,Data Scientist,1 (Web Dev Intern),Yes,"Contribute to open source, Portfolio enhancement"
1072,Karan S 4,AI Researcher,1 (Web Dev Intern),No,"Practice DSA, GitHub proj, Portfolio enhancement"
1073,Arjun T 3,Software Developer,1 (ML Intern),Yes,"Portfolio enhancement, Core project, mock interviews"
1074,Arjun K 3,Cloud Engineer,"2 (DevOps, Cloud)",Yes,"Portfolio enhancement, LinkedIn optimization"
1075,Ravi M,ML Engineer,1 (ML Intern),Yes,"Core project, mock interviews, Build capstone projects"
1076,Arjun R 2,Embedded Engineer,"2 (DevOps, Cloud)",Yes,"Core project, mock interviews, Practice DSA, GitHub proj"
1077,Arjun T 4,Data Scientist,1 (AR Intern),Yes,"Build capstone projects, Resume upgrade, hackathons"
1078,Rahul S 2,Cloud Engineer,1 (Web Dev Intern),Yes,"LinkedIn optimization, Attend tech webinars"
1079,Divya K 2,ML Engineer,1 (Web Dev Intern),Yes,"Apply to research roles, Attend tech webinars"
1080,Meera R,Systems Engineer,"2 (NLP, Vision)",Yes,"Attend tech webinars, Resume upgrade, hackathons"
1081,Divya R,Systems Engineer,1 (Web Dev Intern),No,"Apply to research roles, Practice DSA, GitHub proj"
1082,Ravi R 2,Web Developer,1 (AR Intern),Yes,"Contribute to open source, LinkedIn optimization"
1083,Ravi K 3,Product Designer,"2 (DevOps, Cloud)",Yes,"Resume upgrade, hackathons, Certifications in relevant domain"
1084,Rahul S 3,AI Researcher,1 (CAD Internship),Yes,"LinkedIn optimization, Certifications in relevant domain"
1085,Karan K 4,Embedded Engineer,1 (Security Intern),Yes,"LinkedIn optimization, Certifications in relevant domain"
1086,Priya T 3,Data Scientist,None,No,"Resume upgrade, hackathons, LinkedIn optimization"
1087,Arjun M 2,Embedded Engineer,1 (ML Intern),Yes,"Apply to research roles, Attend tech webinars"
1088,Ankit M,AI Researcher,"2 (Research, Dev)",Yes,"Practice DSA, GitHub proj, Core project, mock interviews"
1089,Karan M 3,Software Developer,1 (CAD Internship),Yes,"Attend tech webinars, Practice DSA, GitHub proj"
1090,Karan M 4,Cloud Engineer,1 (ML Intern),Yes,"Certifications in relevant domain, Attend tech webinars"
1091,Divya S,Systems Engineer,1 (AR Intern),Yes,"Certifications in relevant domain, Practice DSA, GitHub proj"
1092,Sneha T,Data Scientist,1 (Security Intern),Yes,"Contribute to open source, Practice DSA, GitHub proj"
1093,Rahul T 4,Web Developer,1 (CAD Internship),Yes,"Core project, mock interviews, Build capstone projects"
1094,Meera R 2,Product Designer,1 (CAD Internship),Yes,"Apply to research roles, Build capstone projects"
1095,Meera R 3,Embedded Engineer,1 (IoT Internship),No,"Certifications in relevant domain, Attend tech webinars"
1096,Meera T 2,AI Researcher,1 (Web Dev Intern),Yes,"Certifications in relevant domain, Contribute to open source"
1097,Ravi R 3,Data Scientist,"2 (DevOps, Cloud)",No,"Resume upgrade, hackathons, Build capstone projects"
1098,Priya K 2,Cloud Engineer,1 (AR Intern),Yes,"Attend tech webinars, Certifications in relevant domain"
